Configuration, Workload, Subworkload, Iteration, Parameters, ScoreName, ScoreValue
default,Mlc,RunAll,0,,00400_bw(MB/s),73537.1
default,Mlc,RunAll,0,,00500_bw(MB/s),59528.0
default,Mlc,RunAll,0,,00700_bw(MB/s),43257.7
default,Mlc,RunAll,0,,01000_bw(MB/s),30761.8
default,Mlc,RunAll,0,,01300_bw(MB/s),23944.2
default,Mlc,RunAll,0,,01700_bw(MB/s),18558.1
default,Mlc,RunAll,0,,02500_bw(MB/s),12908.2
default,Mlc,RunAll,0,,03500_bw(MB/s),9466.1
default,Mlc,RunAll,0,,05000_bw(MB/s),6870.1
default,Mlc,RunAll,0,,09000_bw(MB/s),4171.4
default,Mlc,RunAll,0,,20000_bw(MB/s),2314.4
default,Mlc,Latency_matrix,1,,Skt0-Skt0,80.9
default,Mlc,Latency_matrix,1,,Skt0-Skt1,130.8
default,Mlc,Latency_matrix,1,,Skt1-Skt0,130.9
default,Mlc,Latency_matrix,1,,Skt1-Skt1,81.6
default,Mlc,Bandwidth_matrix,1,,Skt0-Skt0,68437.0
default,Mlc,Bandwidth_matrix,1,,Skt0-Skt1,30205.5
default,Mlc,Bandwidth_matrix,1,,Skt1-Skt0,30168.8
default,Mlc,Bandwidth_matrix,1,,Skt1-Skt1,66224.1
default,Mlc,Peak_bandwidth,1,,ALL Reads,134789.5
default,Mlc,Peak_bandwidth,1,,3:1 Reads-Writes,120294.5
default,Mlc,Peak_bandwidth,1,,2:1 Reads-Writes,117116.7
default,Mlc,Peak_bandwidth,1,,1:1 Reads-Writes ,108498.8
default,Mlc,Peak_bandwidth,1,,Stream-triad,111165.5
default,Mlc,idle_latency,1,,core clocks,178.2
default,Mlc,idle_latency,1,,Latency(ns),	81.2
default,Mlc,loaded_latency,1,,00000_lat(ns),261.48
default,Mlc,loaded_latency,1,,00002_lat(ns),260.82
default,Mlc,loaded_latency,1,,00008_lat(ns),257.38
default,Mlc,loaded_latency,1,,00015_lat(ns),255.49
default,Mlc,loaded_latency,1,,00050_lat(ns),243.87
default,Mlc,loaded_latency,1,,00100_lat(ns),234.79
default,Mlc,loaded_latency,1,,00200_lat(ns),167.54
default,Mlc,loaded_latency,1,,00300_lat(ns),114.24
default,Mlc,loaded_latency,1,,00400_lat(ns),103.15
default,Mlc,loaded_latency,1,,00500_lat(ns),98.26
default,Mlc,loaded_latency,1,,00700_lat(ns),93.20
default,Mlc,loaded_latency,1,,01000_lat(ns),89.91
default,Mlc,loaded_latency,1,,01300_lat(ns),88.50
default,Mlc,loaded_latency,1,,01700_lat(ns),87.38
default,Mlc,loaded_latency,1,,02500_lat(ns),85.36
default,Mlc,loaded_latency,1,,03500_lat(ns),84.15
default,Mlc,loaded_latency,1,,05000_lat(ns),83.25
default,Mlc,loaded_latency,1,,09000_lat(ns),82.25
default,Mlc,loaded_latency,1,,20000_lat(ns),81.72
default,Mlc,loaded_latency,1,,00000_bw(MB/s),133874.7
default,Mlc,loaded_latency,1,,00002_bw(MB/s),133374.0
default,Mlc,loaded_latency,1,,00008_bw(MB/s),134059.3
default,Mlc,loaded_latency,1,,00015_bw(MB/s),133805.8
default,Mlc,loaded_latency,1,,00050_bw(MB/s),132799.4
default,Mlc,loaded_latency,1,,00100_bw(MB/s),131870.0
default,Mlc,loaded_latency,1,,00200_bw(MB/s),126949.8
default,Mlc,loaded_latency,1,,00300_bw(MB/s),96604.1
default,Mlc,loaded_latency,1,,00400_bw(MB/s),73513.2
default,Mlc,loaded_latency,1,,00500_bw(MB/s),59534.1
default,Mlc,loaded_latency,1,,00700_bw(MB/s),43267.2
default,Mlc,loaded_latency,1,,01000_bw(MB/s),30765.9
default,Mlc,loaded_latency,1,,01300_bw(MB/s),23944.0
default,Mlc,loaded_latency,1,,01700_bw(MB/s),18560.6
default,Mlc,loaded_latency,1,,02500_bw(MB/s),12908.2
default,Mlc,loaded_latency,1,,03500_bw(MB/s),9466.2
default,Mlc,loaded_latency,1,,05000_bw(MB/s),6871.3
default,Mlc,loaded_latency,1,,09000_bw(MB/s),4172.9
default,Mlc,loaded_latency,1,,20000_bw(MB/s),2312.4
default,Mlc,RunAll,1,,Skt0-Skt0,68402.0
default,Mlc,RunAll,1,,Skt0-Skt1,30203.5
default,Mlc,RunAll,1,,Skt1-Skt0,30162.1
default,Mlc,RunAll,1,,Skt1-Skt1,66101.1
default,Mlc,RunAll,1,,ALL Reads,134720.9
default,Mlc,RunAll,1,,3:1 Reads-Writes,120462.0
default,Mlc,RunAll,1,,2:1 Reads-Writes,117374.7
default,Mlc,RunAll,1,,1:1 Reads-Writes ,108416.8
default,Mlc,RunAll,1,,Stream-triad,110923.4
default,Mlc,RunAll,1,,00000_lat(ns),383.60
default,Mlc,RunAll,1,,00002_lat(ns),261.01
default,Mlc,RunAll,1,,00008_lat(ns),257.88
default,Mlc,RunAll,1,,00015_lat(ns),256.02
default,Mlc,RunAll,1,,00050_lat(ns),244.44
default,Mlc,RunAll,1,,00100_lat(ns),235.78
default,Mlc,RunAll,1,,00200_lat(ns),165.87
default,Mlc,RunAll,1,,00300_lat(ns),114.46
default,Mlc,RunAll,1,,00400_lat(ns),103.42
default,Mlc,RunAll,1,,00500_lat(ns),98.33
default,Mlc,RunAll,1,,00700_lat(ns),93.18
default,Mlc,RunAll,1,,01000_lat(ns),89.95
default,Mlc,RunAll,1,,01300_lat(ns),88.59
default,Mlc,RunAll,1,,01700_lat(ns),87.45
default,Mlc,RunAll,1,,02500_lat(ns),85.49
default,Mlc,RunAll,1,,03500_lat(ns),84.33
default,Mlc,RunAll,1,,05000_lat(ns),83.46
default,Mlc,RunAll,1,,09000_lat(ns),82.36
default,Mlc,RunAll,1,,20000_lat(ns),81.48
default,Mlc,RunAll,1,,00000_bw(MB/s),69711.4
default,Mlc,RunAll,1,,00002_bw(MB/s),134546.7
default,Mlc,RunAll,1,,00008_bw(MB/s),134652.9
default,Mlc,RunAll,1,,00015_bw(MB/s),134696.9
default,Mlc,RunAll,1,,00050_bw(MB/s),133240.0
default,Mlc,RunAll,1,,00100_bw(MB/s),132383.1
default,Mlc,RunAll,1,,00200_bw(MB/s),126917.5
default,Mlc,RunAll,1,,00300_bw(MB/s),96621.7
default,Mlc,RunAll,1,,00400_bw(MB/s),73534.4
default,Mlc,RunAll,1,,00500_bw(MB/s),59534.7
default,Mlc,RunAll,1,,00700_bw(MB/s),43272.3
default,Mlc,RunAll,1,,01000_bw(MB/s),30759.9
default,Mlc,RunAll,1,,01300_bw(MB/s),23948.5
default,Mlc,RunAll,1,,01700_bw(MB/s),18559.9
default,Mlc,RunAll,1,,02500_bw(MB/s),12906.5
default,Mlc,RunAll,1,,03500_bw(MB/s),9464.1
default,Mlc,RunAll,1,,05000_bw(MB/s),6870.0
default,Mlc,RunAll,1,,09000_bw(MB/s),4172.0
default,Mlc,RunAll,1,,20000_bw(MB/s),2314.6
default,Mlc,Latency_matrix,2,,Skt0-Skt0,80.5
default,Mlc,Latency_matrix,2,,Skt0-Skt1,131.8
default,Mlc,Latency_matrix,2,,Skt1-Skt0,135.6
default,Mlc,Latency_matrix,2,,Skt1-Skt1,80.7
default,Mlc,Bandwidth_matrix,2,,Skt0-Skt0,68552.6
default,Mlc,Bandwidth_matrix,2,,Skt0-Skt1,30201.5
default,Mlc,Bandwidth_matrix,2,,Skt1-Skt0,30169.5
default,Mlc,Bandwidth_matrix,2,,Skt1-Skt1,66338.6
default,Mlc,Peak_bandwidth,2,,ALL Reads,135634.8
default,Mlc,Peak_bandwidth,2,,3:1 Reads-Writes,120076.7
default,Mlc,Peak_bandwidth,2,,2:1 Reads-Writes,117665.3
default,Mlc,Peak_bandwidth,2,,1:1 Reads-Writes ,108837.2
default,Mlc,Peak_bandwidth,2,,Stream-triad,111467.1
default,Mlc,idle_latency,2,,core clocks,172.3
default,Mlc,idle_latency,2,,Latency(ns),	78.5
default,Mlc,loaded_latency,2,,00000_lat(ns),262.28
default,Mlc,loaded_latency,2,,00002_lat(ns),262.04
default,Mlc,loaded_latency,2,,00008_lat(ns),258.01
default,Mlc,loaded_latency,2,,00015_lat(ns),256.23
default,Mlc,loaded_latency,2,,00050_lat(ns),243.84
default,Mlc,loaded_latency,2,,00100_lat(ns),235.21
default,Mlc,loaded_latency,2,,00200_lat(ns),165.99
default,Mlc,loaded_latency,2,,00300_lat(ns),113.95
default,Mlc,loaded_latency,2,,00400_lat(ns),103.02
default,Mlc,loaded_latency,2,,00500_lat(ns),98.10
default,Mlc,loaded_latency,2,,00700_lat(ns),93.19
default,Mlc,loaded_latency,2,,01000_lat(ns),89.96
default,Mlc,loaded_latency,2,,01300_lat(ns),88.51
default,Mlc,loaded_latency,2,,01700_lat(ns),87.34
default,Mlc,loaded_latency,2,,02500_lat(ns),85.50
default,Mlc,loaded_latency,2,,03500_lat(ns),84.33
default,Mlc,loaded_latency,2,,05000_lat(ns),83.45
default,Mlc,loaded_latency,2,,09000_lat(ns),82.41
default,Mlc,loaded_latency,2,,20000_lat(ns),81.83
default,Mlc,loaded_latency,2,,00000_bw(MB/s),134597.9
default,Mlc,loaded_latency,2,,00002_bw(MB/s),135223.9
default,Mlc,loaded_latency,2,,00008_bw(MB/s),134533.7
default,Mlc,loaded_latency,2,,00015_bw(MB/s),134899.6
default,Mlc,loaded_latency,2,,00050_bw(MB/s),134650.6
default,Mlc,loaded_latency,2,,00100_bw(MB/s),133192.3
default,Mlc,loaded_latency,2,,00200_bw(MB/s),127562.6
default,Mlc,loaded_latency,2,,00300_bw(MB/s),96620.6
default,Mlc,loaded_latency,2,,00400_bw(MB/s),73532.4
default,Mlc,loaded_latency,2,,00500_bw(MB/s),59542.0
default,Mlc,loaded_latency,2,,00700_bw(MB/s),43264.0
default,Mlc,loaded_latency,2,,01000_bw(MB/s),30771.0
default,Mlc,loaded_latency,2,,01300_bw(MB/s),23948.1
default,Mlc,loaded_latency,2,,01700_bw(MB/s),18559.9
default,Mlc,loaded_latency,2,,02500_bw(MB/s),12911.5
default,Mlc,loaded_latency,2,,03500_bw(MB/s),9465.8
default,Mlc,loaded_latency,2,,05000_bw(MB/s),6870.9
default,Mlc,loaded_latency,2,,09000_bw(MB/s),4171.9
default,Mlc,loaded_latency,2,,20000_bw(MB/s),2311.4
default,Mlc,RunAll,2,,Skt0-Skt0,69139.8
default,Mlc,RunAll,2,,Skt0-Skt1,30201.3
default,Mlc,RunAll,2,,Skt1-Skt0,30161.9
default,Mlc,RunAll,2,,Skt1-Skt1,67385.1
default,Mlc,RunAll,2,,ALL Reads,136454.0
default,Mlc,RunAll,2,,3:1 Reads-Writes,121086.7
default,Mlc,RunAll,2,,2:1 Reads-Writes,118042.5
default,Mlc,RunAll,2,,1:1 Reads-Writes ,108495.7
default,Mlc,RunAll,2,,Stream-triad,111667.4
default,Mlc,RunAll,2,,00000_lat(ns),384.43
default,Mlc,RunAll,2,,00002_lat(ns),264.53
default,Mlc,RunAll,2,,00008_lat(ns),261.23
default,Mlc,RunAll,2,,00015_lat(ns),258.77
default,Mlc,RunAll,2,,00050_lat(ns),246.16
default,Mlc,RunAll,2,,00100_lat(ns),237.69
default,Mlc,RunAll,2,,00200_lat(ns),167.25
default,Mlc,RunAll,2,,00300_lat(ns),114.06
default,Mlc,RunAll,2,,00400_lat(ns),103.05
default,Mlc,RunAll,2,,00500_lat(ns),98.26
default,Mlc,RunAll,2,,00700_lat(ns),93.32
default,Mlc,RunAll,2,,01000_lat(ns),90.09
default,Mlc,RunAll,2,,01300_lat(ns),88.64
default,Mlc,RunAll,2,,01700_lat(ns),87.53
default,Mlc,RunAll,2,,02500_lat(ns),85.43
default,Mlc,RunAll,2,,03500_lat(ns),84.08
default,Mlc,RunAll,2,,05000_lat(ns),83.10
default,Mlc,RunAll,2,,09000_lat(ns),82.08
default,Mlc,RunAll,2,,20000_lat(ns),81.24
default,Mlc,RunAll,2,,00000_bw(MB/s),69789.9
default,Mlc,RunAll,2,,00002_bw(MB/s),136595.4
default,Mlc,RunAll,2,,00008_bw(MB/s),136746.5
default,Mlc,RunAll,2,,00015_bw(MB/s),136622.9
default,Mlc,RunAll,2,,00050_bw(MB/s),135171.3
default,Mlc,RunAll,2,,00100_bw(MB/s),133554.4
default,Mlc,RunAll,2,,00200_bw(MB/s),128037.9
default,Mlc,RunAll,2,,00300_bw(MB/s),96638.1
default,Mlc,RunAll,2,,00400_bw(MB/s),73527.7
default,Mlc,RunAll,2,,00500_bw(MB/s),59538.1
default,Mlc,RunAll,2,,00700_bw(MB/s),43268.7
default,Mlc,RunAll,2,,01000_bw(MB/s),30761.0
default,Mlc,RunAll,2,,01300_bw(MB/s),23951.6
default,Mlc,RunAll,2,,01700_bw(MB/s),18557.5
